0,7,30,20,60,32,68,14,20,11,11,65,43,41,11,64,47,26,38,30
7,0,6,18,10,14,18,31,4,67,70,37,37,25,67,28,9,58,29,18
30,6,0,30,8,10,70,71,43,5,18,27,61,2,4,13,49,55,48,34
20,18,30,0,41,22,56,14,51,14,28,47,58,7,69,58,37,33,34,23
60,10,8,41,0,38,38,61,59,48,29,61,40,26,70,65,41,47,44,16
32,14,10,22,38,0,23,35,18,63,15,17,13,17,33,24,69,32,14,67
68,18,70,56,38,23,0,73,33,9,20,31,45,20,45,53,17,9,22,24
14,31,71,14,61,35,73,0,32,38,7,20,60,3,69,55,37,43,18,34
20,4,43,51,59,18,33,32,0,72,41,39,18,37,47,51,30,28,74,3
11,67,5,14,48,63,9,38,72,0,66,68,59,8,20,25,51,11,54,8
11,70,18,28,29,15,20,7,41,66,0,49,37,58,53,67,66,25,52,15
65,37,27,47,61,17,31,20,39,68,49,0,3,56,38,36,67,46,46,64
43,37,61,58,40,13,45,60,18,59,37,3,0,60,43,14,18,66,3,37
41,25,2,7,26,17,20,3,37,8,58,56,60,0,13,73,53,38,35,5
11,67,4,69,70,33,45,69,47,20,53,38,43,13,0,51,4,6,39,8
64,28,13,58,65,24,53,55,51,25,67,36,14,73,51,0,61,61,54,12
47,9,49,37,41,69,17,37,30,51,66,67,18,53,4,61,0,49,39,73
26,58,55,33,47,32,9,43,28,11,25,46,66,38,6,61,49,0,49,60
38,29,48,34,44,14,22,18,74,54,52,46,3,35,39,54,39,49,0,34
30,18,34,23,16,67,24,34,3,8,15,64,37,5,8,12,73,60,34,0
