0,43,28,-1,-6,-5,-19,1,2,32,30,15,-12,32,4,-14,44,38,6,13
43,0,9,-29,-19,-2,-26,35,-30,-27,-32,-27,-6,-18,43,-6,-31,41,48,-6
28,9,0,-38,-24,-9,10,-23,11,22,-27,-38,-20,-18,-7,1,-41,-23,31,-47
-1,-29,-38,0,43,24,-1,8,-26,-4,47,5,3,-26,-1,13,18,-10,-13,49
-6,-19,-24,43,0,-46,39,42,30,-40,-23,-16,18,-36,23,-39,16,0,28,22
-5,-2,-9,24,-46,0,41,40,-16,20,-30,-46,25,1,-2,41,11,12,36,31
-19,-26,10,-1,39,41,0,8,-31,-26,39,-47,-1,-33,48,22,1,-2,-44,19
1,35,-23,8,42,40,8,0,-45,-42,3,-40,32,32,23,-35,16,2,48,15
2,-30,11,-26,30,-16,-31,-45,0,31,-4,-6,33,-41,-36,-32,-10,34,31,-43
32,-27,22,-4,-40,20,-26,-42,31,0,-10,3,-8,16,13,-20,-6,-48,49,-33
30,-32,-27,47,-23,-30,39,3,-4,-10,0,-39,-12,-30,-1,-16,46,43,-44,24
15,-27,-38,5,-16,-46,-47,-40,-6,3,-39,0,-23,-7,5,45,-8,49,-19,21
-12,-6,-20,3,18,25,-1,32,33,-8,-12,-23,0,17,4,20,17,-32,-37,50
32,-18,-18,-26,-36,1,-33,32,-41,16,-30,-7,17,0,-32,-46,7,39,17,-30
4,43,-7,-1,23,-2,48,23,-36,13,-1,5,4,-32,0,-13,-3,49,-34,36
-14,-6,1,13,-39,41,22,-35,-32,-20,-16,45,20,-46,-13,0,15,-12,-30,-7
44,-31,-41,18,16,11,1,16,-10,-6,46,-8,17,7,-3,15,0,-1,-37,9
38,41,-23,-10,0,12,-2,2,34,-48,43,49,-32,39,49,-12,-1,0,-27,-11
6,48,31,-13,28,36,-44,48,31,49,-44,-19,-37,17,-34,-30,-37,-27,0,9
13,-6,-47,49,22,31,19,15,-43,-33,24,21,50,-30,36,-7,9,-11,9,0
