0,32,62,7,10,13,29,62,60,5,30,39,31,49,47,22,32,2,73,13,8,28,15,37,26,71,69,4,55,20,32,41,70,31,73,23,52,50,40,52,50,14,10,74,13,3,42,66,50,15
32,0,28,35,73,12,64,48,28,15,32,36,9,44,17,29,44,19,22,46,20,62,73,55,26,44,8,68,66,61,20,44,2,32,24,12,14,32,7,45,35,52,52,48,3,6,24,40,49,31
62,28,0,61,54,72,40,25,8,46,58,32,7,20,12,21,33,40,34,65,39,70,48,71,18,51,22,50,52,6,19,17,50,63,26,58,50,1,45,29,68,1,35,32,35,57,24,59,35,3
7,35,61,0,14,54,36,12,26,45,15,55,18,68,20,57,14,22,7,43,51,41,32,48,48,51,48,70,16,53,18,9,45,34,34,49,58,26,49,31,63,62,19,46,44,41,65,20,24,9
10,73,54,14,0,70,48,36,48,41,48,41,54,39,74,17,8,9,5,30,34,28,57,47,58,70,72,15,11,52,7,39,40,64,36,30,50,55,39,26,12,44,20,4,56,18,33,51,27,55
13,12,72,54,70,0,30,51,53,33,2,25,32,21,15,61,32,66,29,57,30,60,56,28,16,59,71,25,50,33,62,57,13,64,74,39,66,44,12,15,31,56,62,59,24,40,7,9,11,51
29,64,40,36,48,30,0,37,15,37,11,5,63,42,69,52,44,61,66,74,1,65,46,74,40,36,60,17,37,67,43,63,55,44,19,50,7,47,49,55,66,73,57,44,69,43,2,9,64,36
62,48,25,12,36,51,37,0,63,16,41,47,3,46,27,4,37,15,10,16,11,14,4,48,21,40,52,37,40,33,10,37,64,65,21,16,42,48,31,16,71,7,8,11,13,46,43,4,69,54
60,28,8,26,48,53,15,63,0,55,5,64,70,73,64,59,38,14,30,10,3,70,23,22,25,35,48,2,63,42,64,26,34,5,14,50,25,67,9,74,40,53,74,22,31,35,57,61,8,14
5,15,46,45,41,33,37,16,55,0,27,5,39,25,13,16,67,50,35,68,8,56,55,42,14,45,23,10,16,67,6,18,4,33,1,67,15,7,23,34,8,74,25,23,5,23,4,38,57,47
30,32,58,15,48,2,11,41,5,27,0,7,6,58,67,40,9,62,26,22,56,1,4,50,45,39,54,53,58,22,52,42,30,5,58,25,45,55,8,10,41,36,66,60,55,4,6,7,60,70
39,36,32,55,41,25,5,47,64,5,7,0,51,10,54,9,9,48,25,49,56,44,55,18,55,72,65,7,28,28,51,45,59,28,16,7,58,16,29,41,17,48,36,12,58,8,22,18,40,7
31,9,7,18,54,32,63,3,70,39,6,51,0,30,8,9,59,22,45,72,33,52,57,33,49,9,70,14,20,60,37,57,30,21,3,50,32,34,46,5,24,58,52,10,10,7,1,32,49,54
49,44,20,68,39,21,42,46,73,25,58,10,30,0,40,9,47,10,10,8,11,13,15,24,24,17,19,67,53,42,14,16,6,68,53,42,24,13,47,74,13,20,30,6,51,30,73,30,46,12
47,17,12,20,74,15,69,27,64,13,67,54,8,40,0,29,12,57,65,26,51,22,40,62,45,25,23,34,32,27,42,55,32,32,10,2,22,24,49,71,70,34,18,57,57,55,56,8,51,35
22,29,21,57,17,61,52,4,59,16,40,9,9,9,29,0,16,8,61,13,13,50,67,39,52,12,71,41,51,3,60,56,9,39,25,41,30,31,14,19,2,69,49,70,13,69,59,43,33,20
32,44,33,14,8,32,44,37,38,67,9,9,59,47,12,16,0,56,17,5,57,50,53,48,32,29,61,24,61,59,64,38,48,71,33,5,65,47,27,74,17,49,45,29,11,2,32,14,54,28
2,19,40,22,9,66,61,15,14,50,62,48,22,10,57,8,56,0,63,55,43,14,71,20,69,17,28,7,48,14,4,54,26,49,29,47,2,68,60,56,61,29,46,43,40,21,19,34,17,60
73,22,34,7,5,29,66,10,30,35,26,25,45,10,65,61,17,63,0,73,3,40,7,60,74,5,70,2,51,58,40,66,67,47,11,17,14,4,8,46,70,27,31,73,70,51,74,57,25,50
13,46,65,43,30,57,74,16,10,68,22,49,72,8,26,13,5,55,73,0,19,22,51,40,31,45,56,44,41,44,38,7,54,74,27,72,26,66,34,31,17,10,23,54,58,52,1,63,69,58
8,20,39,51,34,30,1,11,3,8,56,56,33,11,51,13,57,43,3,19,0,4,28,53,54,17,20,50,36,47,18,14,62,57,70,8,14,8,37,15,67,8,4,42,58,24,14,26,16,38
28,62,70,41,28,60,65,14,70,56,1,44,52,13,22,50,50,14,40,22,4,0,68,47,8,29,5,38,32,74,61,36,67,11,29,69,68,53,46,26,70,10,55,48,62,30,56,62,24,41
15,73,48,32,57,56,46,4,23,55,4,55,57,15,40,67,53,71,7,51,28,68,0,73,41,25,46,27,56,31,37,52,72,25,62,55,71,3,27,50,21,18,53,47,44,49,4,26,34,18
37,55,71,48,47,28,74,48,22,42,50,18,33,24,62,39,48,20,60,40,53,47,73,0,53,64,21,55,11,62,11,44,28,60,38,37,65,27,34,72,4,72,15,50,44,50,27,46,61,2
26,26,18,48,58,16,40,21,25,14,45,55,49,24,45,52,32,69,74,31,54,8,41,53,0,7,73,49,18,30,10,20,20,25,12,26,10,66,7,69,30,4,26,55,59,41,51,67,5,23
71,44,51,51,70,59,36,40,35,45,39,72,9,17,25,12,29,17,5,45,17,29,25,64,7,0,4,15,54,54,65,44,6,69,60,22,41,73,53,63,33,35,42,20,56,38,48,23,11,36
69,8,22,48,72,71,60,52,48,23,54,65,70,19,23,71,61,28,70,56,20,5,46,21,73,4,0,27,59,58,50,10,2,42,23,70,73,22,60,67,45,66,70,41,54,43,2,34,48,39
4,68,50,70,15,25,17,37,2,10,53,7,14,67,34,41,24,7,2,44,50,38,27,55,49,15,27,0,28,70,62,63,28,44,65,70,50,16,49,6,31,50,70,61,36,56,31,72,74,64
55,66,52,16,11,50,37,40,63,16,58,28,20,53,32,51,61,48,51,41,36,32,56,11,18,54,59,28,0,29,34,19,59,66,68,42,45,12,67,34,16,67,57,66,22,50,50,10,31,21
20,61,6,53,52,33,67,33,42,67,22,28,60,42,27,3,59,14,58,44,47,74,31,62,30,54,58,70,29,0,54,21,67,62,29,37,52,62,46,43,25,34,53,66,54,2,50,33,33,9
32,20,19,18,7,62,43,10,64,6,52,51,37,14,42,60,64,4,40,38,18,61,37,11,10,65,50,62,34,54,0,61,25,19,26,28,41,42,30,30,39,49,71,54,30,62,10,5,7,13
41,44,17,9,39,57,63,37,26,18,42,45,57,16,55,56,38,54,66,7,14,36,52,44,20,44,10,63,19,21,61,0,24,23,1,40,8,11,47,64,73,43,74,41,39,25,32,37,6,66
70,2,50,45,40,13,55,64,34,4,30,59,30,6,32,9,48,26,67,54,62,67,72,28,20,6,2,28,59,67,25,24,0,5,33,62,30,46,61,66,69,15,20,67,44,38,46,61,40,15
31,32,63,34,64,64,44,65,5,33,5,28,21,68,32,39,71,49,47,74,57,11,25,60,25,69,42,44,66,62,19,23,5,0,34,32,72,46,52,54,26,39,42,12,42,52,32,62,55,27
73,24,26,34,36,74,19,21,14,1,58,16,3,53,10,25,33,29,11,27,70,29,62,38,12,60,23,65,68,29,26,1,33,34,0,34,29,58,55,32,52,70,59,53,9,29,44,34,4,17
23,12,58,49,30,39,50,16,50,67,25,7,50,42,2,41,5,47,17,72,8,69,55,37,26,22,70,70,42,37,28,40,62,32,34,0,62,2,64,6,50,38,17,43,10,50,45,5,5,12
52,14,50,58,50,66,7,42,25,15,45,58,32,24,22,30,65,2,14,26,14,68,71,65,10,41,73,50,45,52,41,8,30,72,29,62,0,2,33,62,46,39,64,8,68,8,39,11,42,1
50,32,1,26,55,44,47,48,67,7,55,16,34,13,24,31,47,68,4,66,8,53,3,27,66,73,22,16,12,62,42,11,46,46,58,2,2,0,57,63,68,74,38,21,8,38,44,57,7,49
40,7,45,49,39,12,49,31,9,23,8,29,46,47,49,14,27,60,8,34,37,46,27,34,7,53,60,49,67,46,30,47,61,52,55,64,33,57,0,39,13,70,44,33,70,49,34,63,40,41
52,45,29,31,26,15,55,16,74,34,10,41,5,74,71,19,74,56,46,31,15,26,50,72,69,63,67,6,34,43,30,64,66,54,32,6,62,63,39,0,51,28,18,43,65,31,9,33,23,30
50,35,68,63,12,31,66,71,40,8,41,17,24,13,70,2,17,61,70,17,67,70,21,4,30,33,45,31,16,25,39,73,69,26,52,50,46,68,13,51,0,62,30,29,27,11,20,7,32,20
14,52,1,62,44,56,73,7,53,74,36,48,58,20,34,69,49,29,27,10,8,10,18,72,4,35,66,50,67,34,49,43,15,39,70,38,39,74,70,28,62,0,23,32,9,37,53,19,59,6
10,52,35,19,20,62,57,8,74,25,66,36,52,30,18,49,45,46,31,23,4,55,53,15,26,42,70,70,57,53,71,74,20,42,59,17,64,38,44,18,30,23,0,30,1,17,1,14,11,20
74,48,32,46,4,59,44,11,22,23,60,12,10,6,57,70,29,43,73,54,42,48,47,50,55,20,41,61,66,66,54,41,67,12,53,43,8,21,33,43,29,32,30,0,13,11,45,67,70,17
13,3,35,44,56,24,69,13,31,5,55,58,10,51,57,13,11,40,70,58,58,62,44,44,59,56,54,36,22,54,30,39,44,42,9,10,68,8,70,65,27,9,1,13,0,36,28,39,20,6
3,6,57,41,18,40,43,46,35,23,4,8,7,30,55,69,2,21,51,52,24,30,49,50,41,38,43,56,50,2,62,25,38,52,29,50,8,38,49,31,11,37,17,11,36,0,33,13,2,71
42,24,24,65,33,7,2,43,57,4,6,22,1,73,56,59,32,19,74,1,14,56,4,27,51,48,2,31,50,50,10,32,46,32,44,45,39,44,34,9,20,53,1,45,28,33,0,32,72,57
